,caseID,eoff,acc,crash
189,1,5.4,-3.8,1
190,1,5.5,-3.8,1
191,1,5.6,-3.8,1
192,1,5.7,-3.8,1
193,1,5.8,-3.8,1
194,1,5.9,-3.8,1
195,1,6,-3.8,1
196,1,6.1,-3.8,1
197,1,6.2,-3.8,1
198,1,6.3,-3.8,1
199,1,6.4,-3.8,1
200,1,6.5,-3.8,1
201,1,6.6,-3.8,1
202,1,0,-4.3,0
203,1,0.1,-4.3,0
204,1,0.2,-4.3,1
205,1,0.3,-4.3,1
206,1,0.4,-4.3,1
207,1,0.5,-4.3,1
208,1,0.6,-4.3,1
209,1,0.7,-4.3,1
210,1,0.8,-4.3,1
211,1,0.9,-4.3,1
212,1,1,-4.3,1
213,1,1.1,-4.3,1
214,1,1.2,-4.3,1
215,1,1.3,-4.3,1
216,1,1.4,-4.3,1
217,1,1.5,-4.3,1
218,1,1.6,-4.3,1
219,1,1.7,-4.3,1
220,1,1.8,-4.3,1
221,1,1.9,-4.3,1
222,1,2,-4.3,1
223,1,2.1,-4.3,1
224,1,2.2,-4.3,1
225,1,2.3,-4.3,1
226,1,2.4,-4.3,1
227,1,2.5,-4.3,1
228,1,2.6,-4.3,1
229,1,2.7,-4.3,1
230,1,2.8,-4.3,1
231,1,2.9,-4.3,1
232,1,3,-4.3,1
233,1,3.1,-4.3,1
234,1,3.2,-4.3,1
235,1,3.3,-4.3,1
236,1,3.4,-4.3,1
237,1,3.5,-4.3,1
238,1,3.6,-4.3,1
239,1,3.7,-4.3,1
240,1,3.8,-4.3,1
241,1,3.9,-4.3,1
242,1,4,-4.3,1
243,1,4.1,-4.3,1
244,1,4.2,-4.3,1
245,1,4.3,-4.3,1
246,1,4.4,-4.3,1
247,1,4.5,-4.3,1
248,1,4.6,-4.3,1
249,1,4.7,-4.3,1
250,1,4.8,-4.3,1
251,1,4.9,-4.3,1
252,1,5,-4.3,1
253,1,5.1,-4.3,1
254,1,5.2,-4.3,1
255,1,5.3,-4.3,1
256,1,5.4,-4.3,1
257,1,5.5,-4.3,1
258,1,5.6,-4.3,1
259,1,5.7,-4.3,1
260,1,5.8,-4.3,1
261,1,5.9,-4.3,1
262,1,6,-4.3,1
263,1,6.1,-4.3,1
264,1,6.2,-4.3,1
265,1,6.3,-4.3,1
266,1,6.4,-4.3,1
267,1,6.5,-4.3,1
268,1,6.6,-4.3,1
269,1,0,-4.8,0
270,1,0.1,-4.8,0
271,1,0.2,-4.8,0
272,1,0.3,-4.8,0
273,1,0.4,-4.8,1
274,1,0.5,-4.8,1
275,1,0.6,-4.8,1
276,1,0.7,-4.8,1
277,1,0.8,-4.8,1
278,1,0.9,-4.8,1
279,1,1,-4.8,1
280,1,1.1,-4.8,1
281,1,1.2,-4.8,1
282,1,1.3,-4.8,1
283,1,1.4,-4.8,1
284,1,1.5,-4.8,1
285,1,1.6,-4.8,1
